id,motu,analysis,voucher,sequence,la_motu,blasting_family,blasting_subfamily,blasting_genus,percentage,bin,notes_on_host,notes,updated,error message
13,MOTU0153,All_inga_trimmed_21bp,BCI_h526,BCI_h526_coi,,Geometridae,Ennominae,Paragonia tasimaDHJ03,98,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2466,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0153""}"
14,MOTU0110,All_inga_trimmed_21bp,BCI_h527,BCI_h527_coi,,Lycaenidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0110""}"
15,MOTU0012,All_inga_trimmed_21bp,BCI_h528,BCI_h528_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
16,MOTU0101,All_inga_trimmed_21bp,BCI_h529,BCI_h529_coi,,Elachistidae,,,93,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3479,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0101""}"
17,MOTU0330,All_inga_trimmed_21bp,BCI_h530,BCI_h530_coi,,Erebidae,Ennominae,Coenipeta nubila,99,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAF3999,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0330""}"
18,MOTU0330,All_inga_trimmed_21bp,BCI_h531,BCI_h531_coi,,Erebidae,Ennominae,Coenipeta nubila,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0330""}"
19,MOTU0012,All_inga_trimmed_21bp,BCI_h533,BCI_h533_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
20,MOTU0290,All_inga_trimmed_21bp,BCI_h534,BCI_h534_coi,,Riodinidae,Riodininae,Nymphidium haematostichum,100,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAK4283,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0290""}"
21,MOTU0012,All_inga_trimmed_21bp,BCI_h535,BCI_h535_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
22,MOTU0377,All_inga_trimmed_21bp,BCI_h536,BCI_h536_coi,,Erebidae,Eulepidotinae,Renodes,98,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB0630,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0377""}"
23,MOTU0023,All_inga_trimmed_21bp,BCI_h537,BCI_h537_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
24,MOTU0012,All_inga_trimmed_21bp,BCI_h538,BCI_h538_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
25,MOTU0023,All_inga_trimmed_21bp,BCI_h539,BCI_h539_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
26,MOTU0290,All_inga_trimmed_21bp,BCI_h540,BCI_h540_coi,,Riodinidae,Riodininae,Nymphidium haematostichum,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0290""}"
27,MOTU0023,All_inga_trimmed_21bp,BCI_h541,BCI_h541_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
28,MOTU0023,All_inga_trimmed_21bp,BCI_h542,BCI_h542_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
29,MOTU0156,All_inga_trimmed_21bp,BCI_h543,BCI_h543_coi,,Geometridae,Geometrinae,Oospila rosipara,99,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE5072,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0156""}"
30,MOTU0023,All_inga_trimmed_21bp,BCI_h544,BCI_h544_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
31,MOTU0023,All_inga_trimmed_21bp,BCI_h546,BCI_h546_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
32,MOTU0012,All_inga_trimmed_21bp,BCI_h547,BCI_h547_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
33,MOTU0023,All_inga_trimmed_21bp,BCI_h548,BCI_h548_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
34,MOTU0023,All_inga_trimmed_21bp,BCI_h549,BCI_h549_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
35,MOTU0110,All_inga_trimmed_21bp,BCI_h550,BCI_h550_coi,,Lycaenidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0110""}"
36,MOTU0290,All_inga_trimmed_21bp,BCI_h551,BCI_h551_coi,,Riodinidae,Riodininae,Nymphidium haematostichum,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0290""}"
37,MOTU0023,All_inga_trimmed_21bp,BCI_h552,BCI_h552_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
38,MOTU0023,All_inga_trimmed_21bp,BCI_h553,BCI_h553_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
39,MOTU0012,All_inga_trimmed_21bp,BCI_h554,BCI_h554_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
40,MOTU0012,All_inga_trimmed_21bp,BCI_h555,BCI_h555_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
41,MOTU0012,All_inga_trimmed_21bp,BCI_h556,BCI_h556_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
42,MOTU0012,All_inga_trimmed_21bp,BCI_h557,BCI_h557_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
43,MOTU0012,All_inga_trimmed_21bp,BCI_h558,BCI_h558_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
44,MOTU0290,All_inga_trimmed_21bp,BCI_h559,BCI_h559_coi,,Riodinidae,Riodininae,Nymphidium haematostichum,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0290""}"
45,MOTU0177,All_inga_trimmed_21bp,BCI_h560,BCI_h560_coi,,Gelechiidae,,,98,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0056,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0177""}"
46,MOTU0303,All_inga_trimmed_21bp,BCI_h562,BCI_h562_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0303""}"
47,MOTU0012,All_inga_trimmed_21bp,BCI_h563,BCI_h563_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
48,MOTU0032,All_inga_trimmed_21bp,BCI_h564,BCI_h564_coi,,Crambidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0032""}"
49,MOTU0032,All_inga_trimmed_21bp,BCI_h565,BCI_h565_coi,,Crambidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0032""}"
50,MOTU0169,All_inga_trimmed_21bp,BCI_h566,BCI_h566_coi,,Lycaenidae,Techlinae,,95,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAD8124,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0169""}"
51,MOTU0369,All_inga_trimmed_21bp,BCI_h567,BCI_h567_coi,,Psychidae,,,85,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAO1873,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0369""}"
52,MOTU0032,All_inga_trimmed_21bp,BCI_h568,BCI_h568_coi,,Crambidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0032""}"
53,MOTU0032,All_inga_trimmed_21bp,BCI_h569,BCI_h569_coi,,Crambidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0032""}"
54,MOTU0032,All_inga_trimmed_21bp,BCI_h570,BCI_h570_coi,,Crambidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0032""}"
55,MOTU0110,All_inga_trimmed_21bp,BCI_h571,BCI_h571_coi,,Lycaenidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0110""}"
56,MOTU0101,All_inga_trimmed_21bp,BCI_h572,BCI_h572_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0101""}"
57,MOTU0244,All_inga_trimmed_21bp,BCI_h573,BCI_h573_coi,,Riodinidae,Riodininae,,93,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA6371,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0244""}"
58,MOTU0085,All_inga_trimmed_21bp,BCI_h575,BCI_h575_coi,,Pieridae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0085""}"
59,MOTU0177,All_inga_trimmed_21bp,BCI_h576,BCI_h576_coi,,Gelechiidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0177""}"
60,MOTU0330,All_inga_trimmed_21bp,BCI_h577,BCI_h577_coi,,Erebidae,Ennominae,Coenipeta nubila,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0330""}"
61,MOTU0290,All_inga_trimmed_21bp,BCI_h578,BCI_h578_coi,,Riodinidae,Riodininae,Nymphidium haematostichum,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0290""}"
62,MOTU0090,All_inga_trimmed_21bp,BCI_h579,BCI_h579_coi,,Elachistidae,Stenomatinae,Antaeotricha,97,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0126,collected on I. oerstediana in Costa Rica,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0090""}"
63,MOTU0012,All_inga_trimmed_21bp,BCI_h581,BCI_h581_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
64,MOTU0085,All_inga_trimmed_21bp,BCI_h583,BCI_h583_coi,,Pieridae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0085""}"
65,MOTU0085,All_inga_trimmed_21bp,BCI_h584,BCI_h584_coi,,Pieridae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0085""}"
66,MOTU0012,All_inga_trimmed_21bp,BCI_h585,BCI_h585_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
67,MOTU0258,All_inga_trimmed_21bp,BCI_h586,BCI_h586_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0258""}"
68,MOTU0012,All_inga_trimmed_21bp,BCI_h587,BCI_h587_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
69,MOTU0012,All_inga_trimmed_21bp,BCI_h588,BCI_h588_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
70,MOTU0012,All_inga_trimmed_21bp,BCI_h589,BCI_h589_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
71,MOTU0012,All_inga_trimmed_21bp,BCI_h590,BCI_h590_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
72,MOTU0012,All_inga_trimmed_21bp,BCI_h591,BCI_h591_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
73,MOTU0012,All_inga_trimmed_21bp,BCI_h592,BCI_h592_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
74,MOTU0012,All_inga_trimmed_21bp,BCI_h593,BCI_h593_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
75,MOTU0290,All_inga_trimmed_21bp,BCI_h595,BCI_h595_coi,,Riodinidae,Riodininae,Nymphidium haematostichum,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0290""}"
76,MOTU0290,All_inga_trimmed_21bp,BCI_h596,BCI_h596_coi,,Riodinidae,Riodininae,Nymphidium haematostichum,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0290""}"
77,MOTU0032,All_inga_trimmed_21bp,BCI_h597,BCI_h597_coi,,Crambidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0032""}"
78,MOTU0258,All_inga_trimmed_21bp,BCI_h598,BCI_h598_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0258""}"
79,MOTU0012,All_inga_trimmed_21bp,BCI_h599,BCI_h599_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
80,MOTU0012,All_inga_trimmed_21bp,BCI_h600,BCI_h600_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
81,MOTU0010,All_inga_trimmed_21bp,BCI_h601,BCI_h601_coi,,Notodontidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0010""}"
82,MOTU0012,All_inga_trimmed_21bp,BCI_h602,BCI_h602_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
83,MOTU0012,All_inga_trimmed_21bp,BCI_h603,BCI_h603_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
84,MOTU0065,All_inga_trimmed_21bp,BCI_h604,BCI_h604_coi,,Geometridae,Ennominae,Paragonia sp. crurariaDHJ02,100,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC5786,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0065""}"
85,MOTU0012,All_inga_trimmed_21bp,BCI_h605,BCI_h605_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
86,MOTU0051,All_inga_trimmed_21bp,BCI_h606,BCI_h606_coi,,Erebidae,Erebinae,Tyrissa perstrigata,99,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC9650,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0051""}"
87,MOTU0130,All_inga_trimmed_21bp,BCI_h607,BCI_h607_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0130""}"
88,MOTU0012,All_inga_trimmed_21bp,BCI_h608,BCI_h608_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
89,MOTU0012,All_inga_trimmed_21bp,BCI_h609,BCI_h609_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
90,MOTU0032,All_inga_trimmed_21bp,BCI_h611,BCI_h611_coi,,Crambidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0032""}"
91,MOTU0032,All_inga_trimmed_21bp,BCI_h612,BCI_h612_coi,,Crambidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0032""}"
92,MOTU0012,All_inga_trimmed_21bp,BCI_h613,BCI_h613_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
93,MOTU0012,All_inga_trimmed_21bp,BCI_h614,BCI_h614_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
94,MOTU0177,All_inga_trimmed_21bp,BCI_h617,BCI_h617_coi,,Gelechiidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0177""}"
95,MOTU0216,All_inga_trimmed_21bp,BCI_h619,BCI_h619_coi,,Pterophoridae,,,92,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAG0192,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0216""}"
96,MOTU0012,All_inga_trimmed_21bp,BCI_h620,BCI_h620_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
97,MOTU0152,All_inga_trimmed_21bp,BCI_h621,BCI_h621_coi,,Geometridae,,Eois,92,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAI5253,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0152""}"
98,MOTU0012,All_inga_trimmed_21bp,BCI_h622,BCI_h622_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
99,MOTU0012,All_inga_trimmed_21bp,BCI_h623,BCI_h623_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
100,MOTU0032,All_inga_trimmed_21bp,BCI_h624,BCI_h624_coi,,Crambidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0032""}"
101,MOTU0012,All_inga_trimmed_21bp,BCI_h627,BCI_h627_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
102,MOTU0177,All_inga_trimmed_21bp,BCI_h628,BCI_h628_coi,,Gelechiidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0177""}"
103,MOTU0228,All_inga_trimmed_21bp,BCI_h629,BCI_h629_coi,,Erebidae,Calpinae,Pseudbarydia japeta,99,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB6175,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0228""}"
104,MOTU0012,All_inga_trimmed_21bp,BCI_h631,BCI_h631_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
105,MOTU0307,All_inga_trimmed_21bp,BCI_h632,BCI_h632_coi,,Elachistidae,,elachJanzen01 Janzen287,99,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0160,"I. oerstediana, Costa Rica",,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0307""}"
106,MOTU0329,All_inga_trimmed_21bp,BCI_h634,BCI_h634_coi,,Geometridae,Ennominae,Glena Janzen05,99,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB1981,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0329""}"
107,MOTU0036,All_inga_trimmed_21bp,BCI_h635,BCI_h635_coi,,Elachistidae,,,99,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAK9347,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0036""}"
108,MOTU0023,All_inga_trimmed_21bp,BCI_h636,BCI_h636_coi,,Erebidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0023""}"
109,MOTU0012,All_inga_trimmed_21bp,BCI_h637,BCI_h637_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
110,MOTU0329,All_inga_trimmed_21bp,BCI_h638,BCI_h638_coi,,Geometridae,Ennominae,Glena Janzen06,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0329""}"
111,MOTU0083,All_inga_trimmed_21bp,BCI_h640,BCI_h640_coi,,Elachistidae,Stenomatinae,Antaeotricha,98,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC7299,collected on I. samanensis in Costa Rica,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0083""}"
112,MOTU0348,All_inga_trimmed_21bp,BCI_h641,BCI_h641_coi,,Elachistidae,Stenomatinae,Antaeotricha,97,http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAK2236,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0348""}"
113,MOTU0012,All_inga_trimmed_21bp,BCI_h642,BCI_h642_coi,,Elachistidae,,,0,,,,2015-07-15 16:17:02+00:00,"HerbivoreCollection could not be found matching {""motu__iexact"": ""MOTU0012""}"
