id,year,month,day,plant_field,orig_id,species_code,evm,exp_min,exp_max,field_efn,field_ants,ants_efn,ant_collection_field,total_herb,a_herbivore_species_code,a_herbivores,b_herbivore_species_code,b_herbivores,c_herbivore_species_code,c_herbivores,d_herbivore_collection_field,d_herbivores,d_herbivores_total,d_family_field,e_herbivore_collection_field,e_herbivores,e_herbivores_total,e_family_field,f_herbivore_collection_field,f_herbivores,f_herbivores_total,f_family_field,g_herbivore_collection_field,g_herbivores,g_herbivores_total,g_family_field,h_herbivore_collection_field,h_herbivores,h_herbivores_total,h_family_field,i_herbivore_collection_field,i_herbivores,i_herbivores_total,i_family_field,j_herbivore_collection_field,j_herbivores,j_herbivores_total_observe,j_family_field,k_herbivore_collection_field,k_herbivores,k_herbivores_total_observe,k_family_field,l_herbivore_collection_field,l_herbivores,l_herbivores_total_observe,l_family_field,m_herbivore_collection_field,m_herbivores,m_herbivores_total_observe,m_family_field,n_herbivore_collection_field,n_herbivores,n_herbivores_total_observe,n_family_field,o_herbivore_collection_field,o_herbivores,o_herbivores_total_observe,o_family_field,p_herbivore_collection_field,p_herbivores,p_herbivores_total_observe,p_family_field,q_herbivore_collection_field,q_herbivores,q_herbivores_total_observe,q_family_field,r_herbivore_collection_field,r_herbivores,r_herbivores_total_observe,r_family_field,s_herbivore_collection_field,s_herbivores,s_herbivores_total_observe,s_family_field,t_herbivore_collection_field,t_herbivores,t_herbivores_total_observe,t_family_field,u_herbivore_collection_field,u_herbivores,u_herbivores_total_observe,u_family_field,v_herbivore_collection_field,v_herbivores,v_herbivores_total_observe,v_family_field,w_herbivore_collection_field,w_herbivores,w_herbivores_total_observe,w_family_field,x_herbivore_collection_field,x_herbivores,x_herbivores_total_observe,x_family_field,y_herbivore_collection_field,y_herbivores,y_herbivores_total_observe,y_family_field,z_herbivore_collection_field,z_herbivores,z_herbivores_total_observe,z_family_field,aa_herbivore_collection_field,aa_herbivores,aa_herbivores_total_observe,aa_family_field,ab_herbivore_collection_field,ab_herbivores,ab_herbivores_total_observe,ab_family_field,ac_herbivore_collection_field,ac_herbivores,ac_herbivores_total_observe,ac_family_field,ad_herbivore_collection_field,ad_herbivores,ad_herbivores_total_observe,ad_family_field,ae_herbivore_collection_field,ae_herbivores,ae_herbivores_total_observe,ae_family_field,af_herbivor_collection_field,af_herbivores_total_observe,af_family_field,af_herbivores,ag_herbivore_collection_field,ag_herbivores,ag_herbivores_total_observe,ag_family_field,ah_herbivore_collection_field,ah_herbivores,ah_herbivores_total_observe,ah_family_field,notes1,notes2,notes3,notes4,notes5,notes6,notes7,notes8,updated,error message
18025,2014,jun,12,9060,0,IngF,E,25,,0,0,0E-8,,2,,0,,0,,,BCI-h858,1,0,Coreidae,BCI-h859,1,0,Coreidae,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,on expanding leaf,,,,,,,,2015-10-13 10:30:48+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h858""}"
18026,2014,jun,13,9060,0,IngF,E,25,,0,0,0E-8,,1,,0,,0,,,BCI-h862,1,0,Coreidae,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,on expanding leaf,,,,,,,,2015-10-13 10:30:48+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h862""}"
18027,2014,jun,14,9060,0,IngF,E,25,,0,0,0E-8,,1,,0,,0,,,BCI-h863,1,0,Coreidae,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,on expanding leaf,,,,,,,,2015-10-13 10:30:48+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""BCI-h863""}"
20041,2012,july,11,10500,28,N28,E,40,,120,0,0E-8,,1,,0,,0,,,Nh-854,1,0,n057,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-854""}"
20042,2012,july,12,10501,6,N6,E,95,,4,0,0E-8,,2,n001,1,,0,,,Nh-855,1,0,BCI21,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-10-13 10:30:50+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-855""}"
20043,2012,july,12,10502,6,N6,E,10,80,200,15,0.08000000,,1,,0,,0,,,Nh-856,1,0,n005,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-856""}"
20044,2012,july,12,10503,6,N6,E,80,,30,1,0.03000000,,2,,0,,0,,,Nh-857,1,0,n057,Nh-858,1,0,n044,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-857""}"
20045,2012,july,12,10504,36,N36,E,25,,1,0,0E-8,,1,,0,,0,,,Nh-859,1,0,n006,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-859""}"
20046,2012,july,12,10505,3,N3,E,25,80,24,0,0E-8,,1,,0,,0,,,Nh-860,1,0,n083,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-860""}"
20047,2012,july,12,10506,21,N21,E,80,,40,0,0E-8,,2,,0,,0,,,Nh-861,1,0,n043,Nh-868,2,0,n032,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-861""}"
20048,2012,july,12,10507,27,N27,E,95,,4,0,0E-8,,1,,0,,0,,,Nh-862,3,0,n124,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,bored rachis,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-862""}"
20049,2012,july,12,10508,4,N4,M,mat,,0,0,0E-8,,1,,0,,0,,,Nh-863,1,0,n077,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-863""}"
20050,2012,july,12,10509,14,N14,M,mat,,0,0,0E-8,,1,,0,,0,,,Nh-864,1,0,n080,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-864""}"
20051,2012,july,12,10510,13,N13,E,80,,14,4,0.29000000,,2,,0,,0,,,Nh-865,1,0,n001,Nh-866,1,0,n001,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-865""}"
20052,2012,july,12,10511,21,N21,E,90,,24,1,0.04000000,,1,,0,,0,,,Nh-867,1,0,n084,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-867""}"
20055,2012,july,13,10514,38,N38,E,95,,45,2,0.04000000,,1,,0,,0,,,Nh-869,1,0,n087,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-869""}"
20056,2012,july,13,10515,38,N38,E,95,,20,20,1.00000000,,1,,0,,0,,,Nh-870,3,0,n008,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-870""}"
20057,2012,july,13,10516,38,N38,E,60,,10,6,0.60000000,,1,,0,,0,,,Nh-871,1,0,n008,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-871""}"
20059,2012,july,13,10518,38,N38,E,80,,4,9,2.25000000,,1,,0,,0,,,Nh-872,5,0,n001,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-872""}"
20060,2012,july,13,10519,38,N38,E,75,,8,11,1.38000000,,3,,0,,0,,,Nh-873,2,0,n083,Nh-874,1,0,n011,Nh-875,1,0,n088,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,Nh-873 were edge chewers,,,,,,,,2015-10-13 10:30:50+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-873""}"
20061,2012,july,13,10520,38,N38,E,90,,12,8,0.67000000,,1,,0,,0,,,Nh-876,3,0,n008,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-876""}"
20062,2012,july,13,10521,41,N41,E,90,,3,3,1.00000000,,1,,0,,0,,,Nh-877,1,0,n083,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-877""}"
20064,2012,july,13,10523,21,N21,E,80,,40,50,1.25000000,,2,n022,10,,0,,,Nh-878,1,0,n008,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-10-13 10:30:50+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-878""}"
20065,2012,july,13,10524,38,N38,E,85,,9,0,0E-8,,1,,0,,0,,,Nh-879,1,0,n032,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-879""}"
20067,2012,july,13,10526,38,N38,E,50,80,18,40,2.22000000,,2,n079,1,,0,,,Nh-880,1,0,n011,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-10-13 10:30:50+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-880""}"
20069,2012,july,14,10528,42,N42,E,10,95,50,20,0.40000000,,3,,0,,0,,,Nh-881,1,0,n089,Nh-882,1,0,n087,Nh-883,1,0,n089,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-10-13 10:30:50+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-881""}"
20070,2012,july,14,10529,36,N36,E,5,95,20,10,0.50000000,,1,,0,,0,,,Nh-884,1,0,n063,,,0,,,,0,,,,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,2015-07-19 16:28:04+00:00,"Multiple HerbivoreCollection objects returned matching {""collection_number"": ""Nh-884""}"
